2020-11-03 17:19:28,384 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:28,385 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:28,390 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:28,398 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:28,409 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:28,410 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:28,441 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:28,441 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:28,448 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:28,452 p=1 u=root n=ansible | TASK [build_config_stanza/switch_options : building switch_options configuration] ************************************************************************************************************
2020-11-03 17:19:28,452 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:28 +0000 (0:00:00.636)       0:00:09.588 ****** 
2020-11-03 17:19:28,870 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:28,889 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:28,897 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:28,904 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:28,906 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:28,907 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:28,930 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:28,933 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:28,939 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:28,940 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:28,944 p=1 u=root n=ansible | TASK [build_config_stanza/poe : building poe configuration] **********************************************************************************************************************************
2020-11-03 17:19:28,944 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:28 +0000 (0:00:00.492)       0:00:10.080 ****** 
2020-11-03 17:19:29,377 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:29,393 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:29,394 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:29,403 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:29,404 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:29,412 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:29,412 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:29,417 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:29,427 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:29,452 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:29,456 p=1 u=root n=ansible | TASK [build_config_stanza/access : building access configuration] ****************************************************************************************************************************
2020-11-03 17:19:29,456 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:29 +0000 (0:00:00.511)       0:00:10.592 ****** 
2020-11-03 17:19:29,860 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:29,867 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:29,881 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:29,881 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:29,895 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:29,898 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:29,903 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:29,918 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:29,926 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:29,928 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:29,932 p=1 u=root n=ansible | TASK [build_config_stanza/vlans : building vlans configuration] ******************************************************************************************************************************
2020-11-03 17:19:29,932 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:29 +0000 (0:00:00.475)       0:00:11.068 ****** 
